"","Forest","PlotID","Species","RelDenAll","RelDomAll","plot_present","NumPlots","RelFreq","IV"
"1","Beaver Creek",17,"american elm",65.5926352128884,40.626566034226,1,5,33.3333333333333,139.552534580448
"2","Beaver Creek",17,"basswood",1.5343306482547,0.106907936497755,1,3,20,21.6412385847525
"3","Beaver Creek",17,"sugar maple",21.9409282700422,15.5977343001018,1,9,60,97.538662570144
"4","Beaver Creek",17,"white ash",10.9321058688147,43.6687917291744,1,7,46.6666666666667,101.267564264656
"5","Beaver Creek",18,"american elm",33.9774859287054,33.7731769503002,1,5,33.3333333333333,101.083996212339
"6","Beaver Creek",18,"box elder",4.50281425891182,2.76756916328312,1,1,6.66666666666667,13.9370500888616
"7","Beaver Creek",18,"red maple",0.75046904315197,0.0922523054427707,1,12,80,80.8427213485947
"8","Beaver Creek",18,"sugar maple",54.2589118198874,31.9618951852369,1,9,60,146.220807005124
"9","Beaver Creek",18,"white ash",6.51031894934334,31.405106395737,1,7,46.6666666666667,84.582092011747
"10","Degrasse",10,"red maple",2.52100840336134,1.98293719647767,1,12,80,84.503945599839
"11","Degrasse",10,"red pine",25.2100840336134,93.2110006302143,1,7,46.6666666666667,165.087751330494
"12","Degrasse",10,"white pine",72.2689075630252,4.80606217330803,1,8,53.3333333333333,130.408303069667
"13","Degrasse",11,"red maple",6.61157024793388,0.0594752822957102,1,12,80,86.6710455302296
"14","Degrasse",11,"red pine",92.8925619834711,96.736710210999,1,7,46.6666666666667,236.295938861137
"15","Degrasse",11,"white pine",0.495867768595041,3.20381450670532,1,8,53.3333333333333,57.0330156086337
"16","Degrasse",12,"red pine",40.2439024390244,93.2396714527479,1,7,46.6666666666667,180.150240558439
"17","Degrasse",12,"spruce",3.65853658536585,1.59234699557861,1,2,13.3333333333333,18.5842169142778
"18","Degrasse",12,"white pine",56.0975609756098,5.16798155167346,1,8,53.3333333333333,114.598875860617
"19","Donnerville",1,"american beech",23.1843575418994,1.36296844632905,1,6,40,64.5473259882285
"20","Donnerville",1,"big toothed aspen",3.35195530726257,22.2614555132971,1,2,13.3333333333333,38.946744153893
"21","Donnerville",1,"black cherry",22.3463687150838,0.173972837185998,1,4,26.6666666666667,49.1870082189365
