"","Forest","PlotID","Species","RelDen","RelDom","RelFreq","IV"
"1","Beaver Creek",17,"american elm",66.6666666666667,43.4782608695652,20,130.144927536232
"2","Beaver Creek",17,"basswood",1.58730158730159,0.483091787439614,20,22.0703933747412
"3","Beaver Creek",17,"sugar maple",22.2222222222222,53.1400966183575,46.6666666666667,122.028985507246
"4","Beaver Creek",17,"white ash",9.52380952380952,2.89855072463768,33.3333333333333,45.7556935817805
"5","Beaver Creek",18,"american elm",33.587786259542,19.5965417867435,20,73.1843280462855
"6","Beaver Creek",18,"box elder",4.58015267175573,8.64553314121038,6.66666666666667,19.8923524796328
"7","Beaver Creek",18,"red maple",0.763358778625954,0.288184438040346,46.6666666666667,47.718209883333
"8","Beaver Creek",18,"sugar maple",54.9618320610687,69.164265129683,46.6666666666667,170.792763857418
"9","Beaver Creek",18,"white ash",6.10687022900763,2.30547550432277,33.3333333333333,41.7456790666637
"10","Degrasse",10,"white pine",100,100,33.3333333333333,233.333333333333
"11","Degrasse",11,"red maple",7.14285714285714,7.14285714285714,46.6666666666667,60.9523809523809
"12","Degrasse",11,"red pine",92.8571428571429,92.8571428571429,6.66666666666667,192.380952380952
"13","Degrasse",12,"white pine",100,100,33.3333333333333,233.333333333333
"14","Donnerville",1,"american beech",28.5714285714286,28.5714285714286,40,97.1428571428571
"15","Donnerville",1,"black cherry",28.5714285714286,28.5714285714286,20,77.1428571428571
"16","Donnerville",1,"choke cherry",28.5714285714286,28.5714285714286,26.6666666666667,83.8095238095238
"17","Donnerville",1,"striped maple",14.2857142857143,14.2857142857143,13.3333333333333,41.9047619047619
"18","Donnerville",2,"american beech",30.7692307692308,30.7692307692308,40,101.538461538462
"19","Donnerville",2,"black cherry",69.2307692307692,69.2307692307692,20,158.461538461538
"20","Donnerville",3,"american beech",71.4285714285714,16.1290322580645,40,127.557603686636
"21","Donnerville",3,"striped maple",14.2857142857143,3.2258064516129,13.3333333333333,30.8448540706605
"22","Donnerville",3,"sugar maple",14.2857142857143,80.6451612903226,46.6666666666667,141.597542242704
"23","South Hammond",4,"black cherry",7.69230769230769,0.48780487804878,20,28.1801125703565
"24","South Hammond",4,"choke cherry",15.3846153846154,12.6829268292683,26.6666666666667,54.7342088805503
"25","South Hammond",4,"red oak",23.0769230769231,13.1707317073171,20,56.2476547842402
"26","South Hammond",4,"shagbark hickory",15.3846153846154,24.390243902439,13.3333333333333,53.1081926203877
"27","South Hammond",4,"white oak",7.69230769230769,0.48780487804878,13.3333333333333,21.5134459036898
"28","South Hammond",4,"white pine",30.7692307692308,48.780487804878,33.3333333333333,112.883051907442
"29","South Hammond",5,"red oak",50,96.1538461538461,20,166.153846153846
"30","South Hammond",5,"shagbark hickory",25,1.92307692307692,13.3333333333333,40.2564102564103
"31","South Hammond",5,"white pine",25,1.92307692307692,33.3333333333333,60.2564102564102
"32","South Hammond",6,"basswood",2.17391304347826,0.847457627118644,20,23.0213706705969
"33","South Hammond",6,"big toothed aspen",2.17391304347826,0.847457627118644,6.66666666666667,9.68803733726357
"34","South Hammond",6,"choke cherry",34.7826086956522,33.8983050847458,26.6666666666667,95.3475804470646
"35","South Hammond",6,"red maple",4.34782608695652,1.69491525423729,46.6666666666667,52.7094080078605
"36","South Hammond",6,"red oak",4.34782608695652,22.0338983050847,20,46.3817243920413
"37","South Hammond",6,"sugar maple",36.9565217391304,34.7457627118644,46.6666666666667,118.368951117662
"38","South Hammond",6,"white ash",13.0434782608696,5.08474576271186,33.3333333333333,51.4615573569148
"39","South Hammond",6,"white oak",2.17391304347826,0.847457627118644,13.3333333333333,16.3547040039302
"40","Whipoorwill",13,"american elm",4.34782608695652,14.2857142857143,20,38.6335403726708
"41","Whipoorwill",13,"basswood",2.41545893719807,2.16450216450216,20,24.5799611017002
"42","Whipoorwill",13,"choke cherry",0.483091787439614,0.432900432900433,26.6666666666667,27.5826588870067
"43","Whipoorwill",13,"hornbeam",2.41545893719807,2.16450216450216,6.66666666666667,11.2466277683669
"44","Whipoorwill",13,"red maple",7.72946859903382,6.92640692640692,46.6666666666667,61.3225421921074
"45","Whipoorwill",13,"spruce",0.966183574879227,0.865800865800866,6.66666666666667,8.49865110734676
"46","Whipoorwill",13,"sugar maple",74.8792270531401,67.0995670995671,46.6666666666667,188.645460819374
"47","Whipoorwill",13,"white ash",4.34782608695652,3.8961038961039,33.3333333333333,41.5772633163937
"48","Whipoorwill",13,"white pine",2.41545893719807,2.16450216450216,33.3333333333333,37.9132944350336
"49","Whipoorwill",14,"american beech",62.5,85,40,187.5
"50","Whipoorwill",14,"red maple",18.75,7.5,46.6666666666667,72.9166666666667
"51","Whipoorwill",14,"sugar maple",6.25,2.5,46.6666666666667,55.4166666666667
"52","Whipoorwill",14,"white ash",12.5,5,33.3333333333333,50.8333333333333
"53","Whiskey Flats",15,"american beech",76.4705882352941,20,40,136.470588235294
"54","Whiskey Flats",15,"red maple",17.6470588235294,41.5384615384615,46.6666666666667,105.852187028658
"55","Whiskey Flats",15,"sugar maple",5.88235294117647,38.4615384615385,46.6666666666667,91.0105580693816
"56","Whiskey Flats",16,"american beech",48.7179487179487,93.3993399339934,40,182.117288651942
"57","Whiskey Flats",16,"red maple",51.2820512820513,6.6006600660066,46.6666666666667,104.549378014725
